profile_id,account_age_days,bio_length,profile_picture_quality,posts_count,followers_count,following_count,posts_last_30_days,external_link_count,username_digit_count,username_length,repeated_captions,recent_posts_sampled,avg_caption_length,night_posts,likes_last_20_posts,comments_last_20_posts,dm_sent_last_7_days,dm_replies_last_7_days
P00001,549,131,0.575,350,1681,60,0,0,0,12,2,11,69.8,3,1421,155,31,8
P00002,204,29,0.319,30,317,1701,33,1,1,16,21,26,28.1,6,823,42,72,16
P00003,1021,73,0.572,374,312,451,11,0,2,8,4,18,136.7,2,0,0,11,1
P00004,998,7,0.726,127,169,192,5,0,2,6,3,25,140.8,5,2960,261,5,11
P00005,1096,28,0.825,287,336,598,8,0,1,11,1,16,142.7,4,2178,52,63,10
P00006,1349,83,1,305,1860,653,28,1,1,6,2,15,10.0,0,731,94,23,6
P00007,787,146,0.893,247,1421,316,38,1,1,10,1,12,97.4,0,1112,87,24,1
P00008,1,40,0.216,53,0,788,27,1,6,13,16,23,9.3,17,105,10,35,6
P00009,68,52,0.299,106,310,560,32,1,5,12,18,25,78.3,6,409,2,156,0
P00010,1345,58,0.8,171,1589,76,0,0,0,5,3,19,27.0,5,2968,133,0,16
P00011,738,38,0.737,110,1051,1079,8,0,1,8,5,30,122.7,5,440,115,8,4
P00012,1076,83,0.824,252,10,763,27,0,1,6,4,23,149.6,6,0,17,37,8
P00013,1603,84,0.84,515,1648,402,18,0,2,13,2,26,57.5,8,1479,0,19,5
P00014,719,99,0.74,37,1067,283,0,1,2,10,4,17,0,1,640,35,5,10
P00015,227,15,0.474,0,263,1633,0,3,5,22,3,27,17.1,8,448,13,57,7
P00016,115,71,0.408,113,300,243,60,0,7,11,18,25,0,21,651,44,74,3
P00017,174,26,0.399,65,327,1322,80,2,8,16,7,22,21.2,14,0,11,49,4
P00018,76,12,0.399,63,693,838,0,4,4,16,28,30,23.6,12,625,0,61,9
P00019,66,6,0.185,59,577,2379,55,2,5,16,7,23,65.0,14,886,68,75,0
P00020,12,17,0.427,0,747,1304,36,1,4,16,19,30,69.6,17,107,5,256,5
P00021,189,14,0.539,31,34,2833,7,1,6,13,2,27,29.0,16,0,16,120,1
P00022,78,45,0.249,89,270,1452,85,1,6,15,10,28,72.4,6,412,37,65,8
P00023,97,8,0.465,81,0,1612,62,1,5,16,4,19,40.5,16,495,5,85,3
P00024,434,164,0.78,497,1301,640,12,0,0,10,0,21,110.7,8,0,61,34,11
P00025,95,61,0.232,17,518,3592,0,3,2,14,18,28,46.6,0,135,0,45,10
P00026,30,169,0.772,5,10,380,5,0,2,14,3,23,76.8,4,392,210,19,9
P00027,1715,145,0.774,41,413,769,15,1,3,8,7,30,98.1,8,427,151,32,1
P00028,1,40,0.22,0,387,1376,19,2,6,16,5,21,45.7,15,415,45,62,10
P00029,813,81,0.751,392,463,408,0,1,2,8,0,16,64.7,2,193,98,40,12
P00030,949,96,0.667,254,1112,679,26,1,1,12,4,30,133.3,2,1249,161,22,9
P00031,61,29,0.094,0,560,1148,2,3,1,17,13,19,38.5,14,1177,12,179,13
P00032,1156,99,0.668,5,10,231,15,0,2,11,0,27,101.4,4,2002,192,35,8
P00033,119,37,0.041,0,281,1607,48,3,4,16,20,26,33.9,17,203,0,2,5
P00034,1148,107,0.751,127,796,263,0,1,2,10,2,23,48.7,2,1592,183,16,7
P00035,30,65,1,244,1784,543,23,1,1,12,6,24,77.7,3,1971,42,49,7
P00036,90,27,0.413,38,0,1655,33,2,1,13,11,27,34.8,7,0,0,179,0
P00037,54,46,0.359,61,622,1736,84,1,1,18,12,17,0,10,439,23,77,10
P00038,97,6,0.339,75,65,1319,89,0,4,16,10,19,0.0,12,651,7,211,0
P00039,1299,119,0.849,378,10,55,23,0,1,10,4,22,80.6,5,135,191,32,12
P00040,1014,88,0.766,101,651,554,29,1,0,13,2,25,37.3,5,2057,0,38,7
P00041,103,82,0.502,64,0,1521,19,3,3,19,8,15,13.7,5,197,52,52,0
P00042,110,2,0.586,0,9,1363,22,1,4,16,8,29,41.5,5,391,14,0,2
P00043,195,16,0.635,0,344,1054,0,1,7,9,11,30,47.7,9,0,16,122,13
P00044,901,35,0.744,364,543,637,6,0,0,14,2,18,146.2,6,861,58,17,0
P00045,62,7,0.221,23,304,587,36,2,2,20,7,17,35.4,5,448,71,132,19
P00046,1666,87,0.807,198,1120,401,14,1,2,9,3,19,91.9,2,1067,240,3,0
P00047,949,89,0.674,563,1061,369,10,0,2,9,7,30,140.5,6,175,32,0,7
P00048,984,101,0.455,245,858,15,8,1,1,14,2,15,0.7,2,1617,113,26,6
P00049,1040,31,0.711,192,252,596,4,0,3,8,4,25,93.9,1,0,152,5,0
P00050,987,67,0.819,365,10,1597,0,1,1,11,6,27,73.1,1,1499,222,0,12
P00051,689,65,0.739,190,1599,808,17,0,3,6,4,30,152.0,3,156,164,27,6
P00052,12,53,0.313,15,767,1136,39,2,2,13,5,18,0,8,294,56,0,9
P00053,1382,69,1,6,10,386,4,0,1,10,3,15,110.2,4,390,102,8,0
P00054,1503,89,0.8,201,345,841,14,0,2,19,5,23,51.2,6,995,32,27,7
P00055,134,26,0.242,94,124,201,55,0,3,16,10,18,68.2,3,112,6,116,0
P00056,155,54,0.064,141,432,2326,52,2,6,13,11,21,59.6,13,75,0,218,2
P00057,836,93,0.677,454,1299,885,26,0,2,6,2,6,79.5,2,1046,36,20,0
P00058,1497,44,0.708,199,413,1012,29,1,1,11,7,30,83.2,9,1108,76,49,12
P00059,260,133,0.799,93,10,923,2,1,1,8,7,30,97.2,12,1960,0,28,19
P00060,1132,57,0.666,225,10,1028,30,0,0,8,2,30,123.4,4,0,233,31,5
P00061,346,32,0.641,499,1337,916,22,1,2,9,4,28,115.7,3,863,69,30,6
P00062,1118,104,0.812,417,595,587,15,1,1,5,0,13,89.2,0,2333,168,14,13
P00063,1,14,0.404,0,473,2568,34,2,5,15,13,22,38.0,9,367,0,97,13
P00064,506,66,0.842,177,1876,1155,13,0,3,7,2,14,91.8,3,314,0,0,13
P00065,7,52,0.576,57,119,1220,36,0,5,15,0,22,0,10,595,11,18,8
P00066,155,46,0.61,253,818,750,22,0,2,8,0,30,149.2,3,668,164,32,13
P00067,2236,70,0.505,408,10,1144,29,1,1,14,1,13,7.4,4,539,188,16,17
P00068,1592,123,1,246,927,429,15,0,0,8,5,27,143.1,6,3330,202,0,13
P00069,174,0,0.616,127,0,1124,73,2,4,13,8,21,9.2,12,486,0,0,0
P00070,675,63,0.677,326,10,907,15,0,0,13,1,12,121.9,1,114,211,14,6
P00071,106,7,0.64,0,0,1682,44,0,7,14,18,22,25.4,7,262,0,0,0
P00072,754,157,0.923,569,1560,430,20,0,1,14,3,22,114.0,0,1356,161,20,5
P00073,45,23,0.308,51,472,2121,86,2,2,18,8,23,31.8,2,517,5,6,0
P00074,1258,105,0.829,315,936,427,3,0,1,6,5,22,98.3,3,2130,0,22,13
P00075,55,0,0.382,135,303,1772,0,0,1,16,5,12,75.0,8,1039,35,34,8
P00076,104,26,0.63,83,295,1610,90,3,3,13,15,30,41.8,13,136,46,108,12
P00077,82,19,0.482,0,570,1232,4,4,5,14,11,24,22.6,6,394,42,99,18
P00078,84,42,0.304,47,332,1937,27,3,3,15,14,24,78.4,1,226,0,1,0
P00079,50,60,0.287,10,0,709,55,1,5,15,15,20,99.5,7,162,9,133,3
P00080,1280,92,0.833,198,1706,288,5,1,1,15,2,13,89.7,3,0,0,1,2
P00081,92,5,0.112,93,0,1384,51,1,3,14,13,28,19.3,7,448,5,68,17
P00082,11,33,0.548,156,187,815,9,0,1,9,21,30,60.1,14,477,0,113,8
P00083,1216,32,0.944,677,1472,921,16,1,0,14,4,30,80.4,8,1087,180,33,16
P00084,1783,127,0.697,5,859,475,12,0,1,10,4,16,71.0,2,1035,0,28,2
P00085,148,58,0.245,0,504,30,52,2,0,12,9,25,28.1,14,372,20,111,0
P00086,47,61,0.493,30,469,1262,23,3,0,14,10,17,32.1,5,458,41,0,11
P00087,1196,131,0.647,466,1704,623,0,0,2,11,1,17,7.8,4,0,139,9,13
P00088,999,48,0.927,28,1913,1003,15,0,0,14,4,20,159.7,8,709,0,1,6
P00089,269,0,0.735,82,10,141,36,0,5,13,12,30,0,14,0,53,152,0
P00090,100,20,0.345,43,524,1149,59,0,6,16,7,20,91.8,11,0,42,111,9
P00091,32,40,0.48,107,229,1896,48,1,3,10,17,22,38.3,6,0,0,104,0
P00092,157,0,0.468,26,474,2193,24,4,5,11,17,30,58.8,23,255,43,112,2
P00093,45,81,0.37,61,658,2545,0,1,8,15,19,25,78.3,5,683,20,69,5
P00094,1408,0,0.66,231,913,216,12,0,0,10,0,22,126.9,6,0,60,0,12
P00095,11,47,0.634,0,173,1142,54,2,5,17,11,21,26.4,15,7,20,93,6
P00096,1012,102,0.782,380,10,784,28,1,1,15,1,12,77.1,1,4126,172,3,11
P00097,704,74,0.747,5,488,463,11,0,1,11,7,30,46.6,4,2255,134,51,10
P00098,848,100,0.734,5,10,59,3,0,1,11,4,23,80.2,3,140,109,0,17
P00099,1518,66,0.781,577,312,696,0,0,3,10,7,28,59.6,4,122,70,8,4
P00100,912,53,0.83,5,10,58,20,0,0,10,6,25,130.9,0,739,218,0,8
P00101,114,35,0.573,84,177,1317,60,0,7,17,11,29,31.3,12,1234,68,60,19
P00102,1320,103,0.767,5,551,559,22,0,1,13,3,19,0,3,3013,110,41,4
P00103,24,1,0.22,55,0,1776,74,0,4,17,1,17,100.9,6,539,0,60,21
P00104,1976,72,0.876,456,735,130,8,0,3,5,1,25,67.6,2,2032,263,22,4
P00105,78,49,0.556,0,0,327,59,1,1,13,18,30,32.7,4,497,36,187,0
P00106,113,15,0.68,82,704,1941,28,2,5,16,11,17,42.3,6,139,0,149,0
P00107,824,113,0.772,442,2033,305,0,0,2,14,3,23,47.6,4,879,118,0,6
P00108,56,16,0.502,40,0,3174,15,1,5,19,3,18,0,7,454,72,161,0
P00109,1145,72,0.919,315,608,1002,6,0,0,15,0,23,158.0,0,940,76,42,0
P00110,1,21,0.511,0,0,1806,1,0,6,15,19,30,8.0,23,219,25,35,16
P00111,958,25,0.61,579,918,1004,3,0,1,16,5,30,81.9,11,414,0,11,1
P00112,1575,106,0.756,5,10,1205,14,0,2,13,0,30,125.1,2,707,16,23,6
P00113,473,112,0.795,510,1389,565,21,1,2,8,2,21,127.4,4,549,56,0,7
P00114,856,70,0.583,174,875,561,6,1,1,9,1,13,114.0,5,2601,112,13,6
P00115,837,109,0.715,509,273,1025,15,0,0,7,1,17,106.9,5,2400,27,40,10
P00116,568,105,0.95,5,281,15,23,0,0,9,2,30,72.2,8,1322,76,0,9
P00117,30,0,0.851,357,2159,636,2,0,0,12,2,24,43.7,7,1486,218,6,6
P00118,1086,173,0.77,364,1946,1072,29,0,1,11,6,21,89.2,2,2583,0,0,7
P00119,1099,24,0.835,278,85,344,12,1,2,6,1,12,110.6,3,302,121,12,3
P00120,71,29,0.505,43,19,1410,68,2,6,23,13,22,16.6,13,834,28,137,0
P00121,929,50,0.83,180,10,624,20,1,2,7,1,6,118.4,2,1841,0,44,0
P00122,1154,98,0.691,238,172,709,23,0,0,9,3,21,78.3,0,803,0,13,0
P00123,651,75,0.794,577,306,15,6,1,0,14,1,23,8.9,5,336,0,16,6
P00124,1,20,0.403,57,82,3206,0,2,6,13,7,20,3.9,4,980,59,162,5
P00125,20,3,0.398,61,145,988,28,1,5,17,3,15,10.0,3,21,31,20,6
P00126,705,139,0.54,253,275,741,0,0,1,10,2,20,81.9,5,0,322,3,7
P00127,135,34,0.571,40,328,1237,85,0,5,7,20,30,27.9,5,347,52,112,11
P00128,717,137,0.906,324,1679,500,0,0,1,10,3,23,16.6,10,0,125,63,5
P00129,197,52,0.52,106,371,2377,0,3,3,15,23,30,100.2,10,275,40,40,16
P00130,168,27,0.327,106,176,2277,25,3,5,16,10,30,49.8,8,105,5,75,8
P00131,601,87,0.728,258,829,451,9,1,1,10,2,21,49.5,3,2149,136,15,7
P00132,1174,73,0.758,507,457,342,19,2,1,7,1,16,66.6,3,1850,101,0,12
P00133,30,55,0.822,308,10,725,19,1,1,12,2,17,135.9,0,2298,182,14,0
P00134,1,0,0.379,48,289,964,30,1,1,15,7,22,39.9,13,0,0,98,2
P00135,1572,87,0.879,519,264,175,5,1,0,10,2,24,49.7,6,900,35,7,16
P00136,1285,109,0.761,207,1212,796,5,1,1,13,2,24,71.2,3,2046,0,28,7
P00137,1,32,0.434,0,233,1502,40,3,4,20,0,26,39.4,15,118,38,157,0
P00138,997,83,0.816,264,787,1122,24,0,1,9,2,23,101.2,7,0,0,13,2
P00139,115,39,0.169,66,421,709,29,1,2,19,20,30,55.0,15,197,13,100,3
P00140,1666,9,0.667,287,271,661,32,0,0,16,6,30,135.4,14,1450,197,1,9
P00141,713,70,0.644,580,740,100,20,1,0,15,2,28,120.8,3,1124,307,6,14
P00142,1,2,0.525,41,627,659,33,3,4,10,11,25,109.5,10,583,0,122,8
P00143,53,51,0.481,70,248,2149,17,1,3,17,13,22,48.7,15,672,9,167,2
P00144,50,63,0.568,0,0,1786,34,2,2,18,8,24,85.9,14,996,32,156,16
P00145,266,26,0.531,48,829,2203,44,1,6,14,27,30,54.0,22,31,19,132,26
P00146,268,0,0.337,109,0,1684,0,3,6,14,21,27,31.5,7,607,91,7,12
P00147,1,9,0.398,69,562,1834,46,0,1,14,0,25,0,7,166,0,60,0
P00148,988,70,0.785,35,474,896,0,0,2,9,1,18,83.3,1,102,349,49,3
P00149,31,10,0.194,131,267,1325,8,1,7,14,9,25,6.2,8,0,21,163,11
P00150,111,24,0.514,0,0,903,74,3,4,13,13,22,0,9,514,7,48,12
P00151,1322,128,0.909,5,2209,895,9,0,2,9,4,19,20.1,6,1037,83,14,16
P00152,1497,99,0.743,141,1159,444,11,1,1,17,2,23,101.4,5,1125,115,0,8
P00153,1316,144,0.745,281,740,465,21,1,0,11,6,30,106.0,6,0,0,13,14
P00154,1566,85,0.726,267,1139,678,23,0,0,11,4,16,108.2,3,2961,0,40,17
P00155,970,74,0.97,414,2195,328,3,1,1,10,5,18,22.4,0,913,57,21,10
P00156,1264,145,0.886,237,1898,555,0,2,1,14,2,26,63.3,4,1535,11,4,0
P00157,70,38,0.544,58,132,1873,24,0,6,12,9,26,47.1,10,309,29,77,4
P00158,1353,73,0.888,479,10,392,24,0,1,12,4,20,92.1,0,22,16,21,6
P00159,2080,28,0.688,23,10,15,13,0,0,11,1,23,128.8,3,2012,0,33,10
P00160,1403,110,0.786,513,1054,813,0,0,1,14,2,24,60.0,0,1152,35,29,6
P00161,1670,75,0.72,551,10,757,5,0,1,9,1,17,95.2,3,0,152,23,13
P00162,771,57,0.749,494,1007,744,13,0,1,7,0,15,115.4,4,988,52,19,23
P00163,1506,122,0.508,21,310,176,16,1,0,11,0,30,84.9,10,0,198,32,9
P00164,1504,52,0.577,630,442,275,11,0,0,12,5,30,48.5,1,1313,105,15,16
P00165,979,119,0.791,419,524,329,14,0,1,10,2,30,54.9,9,0,169,0,1
P00166,1011,117,0.787,378,2000,593,11,0,2,10,5,26,66.2,5,2836,48,35,12
P00167,261,39,0.642,329,1363,595,19,0,3,17,2,18,149.2,2,0,3,31,8
P00168,16,63,0.486,0,164,1994,72,3,6,15,13,24,19.0,6,0,21,96,7
P00169,770,43,0.827,582,1435,285,28,0,0,10,3,23,129.1,6,2979,40,5,14
P00170,45,26,0.573,0,801,1176,22,2,4,8,18,24,0.6,4,238,2,123,0
P00171,65,58,0.308,11,692,1665,91,2,4,15,12,29,19.4,8,406,0,118,4
P00172,274,131,0.785,607,1637,954,23,1,1,12,2,23,130.7,12,1544,63,33,2
P00173,1409,83,1,325,10,460,9,0,1,7,2,12,90.7,3,0,234,6,1
P00174,60,28,0.285,115,257,30,54,2,5,17,15,29,98.8,22,765,14,115,0
P00175,1260,87,0.593,164,1162,153,4,1,1,12,0,24,93.4,0,2892,201,12,0
P00176,1374,35,0.728,524,1127,187,7,0,0,9,1,19,0,3,2270,90,23,0
P00177,1,19,0.66,33,542,1943,27,2,3,11,7,20,55.2,3,234,7,0,10
P00178,1578,45,0.926,179,1648,453,22,0,0,12,3,30,81.9,1,401,80,44,15
P00179,16,70,0.334,0,432,30,6,2,3,14,12,19,46.2,12,426,27,7,3
P00180,605,72,0.709,64,489,872,17,0,1,8,0,30,194.4,14,0,171,20,6
P00181,129,43,0.291,37,213,2756,0,1,6,19,27,30,42.6,13,745,39,70,11
P00182,1168,96,0.847,272,10,431,17,1,0,10,4,19,0,0,1083,87,49,0
P00183,148,17,0.532,10,390,1080,74,1,3,12,13,24,95.0,16,151,0,104,7
P00184,65,25,0.32,50,252,664,73,3,4,9,14,24,67.1,16,142,39,46,4
P00185,206,40,0.553,59,423,1364,65,0,6,14,14,29,28.3,10,568,22,197,13
P00186,68,11,0.502,0,18,1643,39,2,5,14,15,30,19.8,13,859,2,125,2
P00187,1271,44,0.689,320,10,537,18,0,0,10,0,8,0,1,2544,89,38,7
P00188,986,132,0.777,451,599,172,0,2,1,9,3,17,87.2,7,1512,116,27,4
P00189,1062,110,0.85,364,594,741,3,1,0,9,2,23,88.5,8,155,27,20,8
P00190,525,83,0.833,352,1215,1178,0,0,2,11,6,21,104.7,3,828,151,0,14
P00191,1011,38,0.772,229,1238,534,16,1,0,7,4,23,95.5,6,1886,211,33,1
P00192,1141,52,0.803,136,648,15,0,0,1,12,1,7,73.0,0,1880,28,14,0
P00193,1718,110,0.832,145,152,261,9,0,0,9,3,20,107.6,6,0,124,43,9
P00194,193,31,0.448,60,301,1465,50,0,4,17,7,28,9.9,13,0,10,211,0
P00195,1446,94,0.631,22,1478,634,12,0,1,7,5,16,33.5,4,0,159,25,6
P00196,807,119,0.83,447,477,545,0,1,0,8,0,7,5.7,1,509,112,54,1
P00197,103,53,0.457,59,774,1134,36,0,4,17,7,12,0,5,792,0,124,16
P00198,1254,74,0.788,41,1752,398,7,0,0,13,3,23,20.6,6,726,88,0,0
P00199,358,72,0.578,159,567,301,24,0,1,11,4,16,29.4,5,0,2,15,1
P00200,36,25,0.292,0,148,1713,32,3,6,13,8,20,81.7,12,601,43,102,0
P00201,4,28,0.436,62,0,1089,39,2,2,24,19,30,47.5,14,0,24,176,5
P00202,171,17,0.378,103,28,1148,75,1,3,14,14,27,53.8,16,646,1,0,0
P00203,509,76,0.614,365,10,15,14,0,1,11,1,26,111.1,3,827,57,28,13
P00204,49,35,0.199,43,0,2416,8,2,2,12,8,30,24.0,9,480,9,48,0
P00205,1932,4,1,335,345,59,3,0,1,7,1,26,81.3,5,374,275,56,2
P00206,1551,100,1,389,1226,716,0,0,1,8,3,19,49.0,3,357,144,23,5
P00207,131,20,0.592,139,809,1415,70,2,4,13,8,27,44.9,1,914,38,52,1
P00208,550,29,0.874,181,25,143,24,0,2,9,0,30,88.2,4,0,101,42,0
P00209,1161,119,0.851,253,775,918,5,0,0,10,4,19,43.5,3,166,182,26,12
P00210,92,81,0.451,0,650,1822,71,1,6,13,13,20,27.4,8,361,45,87,15
P00211,2066,104,0.842,420,861,491,3,1,0,9,4,19,84.6,5,293,97,21,12
P00212,93,48,0.57,62,379,1843,16,0,0,18,8,30,16.0,3,229,0,36,14
P00213,74,27,0.348,57,342,167,21,1,8,20,22,30,21.8,5,1011,56,11,20
P00214,507,76,0.629,149,1601,842,32,0,1,11,2,25,90.0,4,1540,55,0,0
P00215,861,124,0.851,5,786,140,0,1,1,12,2,7,58.3,2,2306,118,24,13
P00216,154,62,0.353,10,0,1830,0,1,1,12,7,27,42.7,19,141,0,94,0
P00217,470,117,0.755,43,1029,665,7,0,1,8,4,18,27.2,6,646,194,33,8
P00218,1,24,0.35,161,425,1799,67,2,5,18,15,30,11.6,21,787,0,157,18
P00219,277,0,0.231,39,0,893,64,1,2,7,3,24,43.9,1,296,0,98,0
P00220,573,80,0.851,395,1472,473,10,0,0,6,2,17,36.7,6,653,91,20,15
P00221,253,15,0.258,30,167,1608,48,1,3,21,13,27,77.6,1,520,0,190,11
P00222,1402,48,0.718,212,1302,15,18,0,1,11,4,16,150.5,2,1913,25,36,3
P00223,31,22,0.305,72,259,30,64,1,3,14,11,20,16.0,1,325,6,157,6
P00224,551,103,0.934,699,606,498,10,0,0,14,0,14,94.4,0,687,21,5,0
P00225,103,22,0.479,0,152,1392,28,2,1,11,9,18,16.8,6,22,7,106,0
P00226,1941,129,0.697,424,358,593,12,0,2,13,2,16,96.9,0,441,0,0,7
P00227,645,91,0.744,434,10,323,10,0,1,8,0,16,0,2,541,13,12,7
P00228,597,123,0.572,219,10,817,16,1,0,9,4,15,32.9,4,1519,0,20,10
P00229,732,74,0.854,91,115,357,12,0,2,12,2,15,98.5,1,1285,0,16,5
P00230,114,37,0.605,113,351,2031,13,2,4,15,12,25,33.2,2,731,27,91,8
P00231,1068,118,0.708,345,1306,425,28,1,1,8,3,16,100.2,4,1470,15,16,17
P00232,111,2,0.231,0,117,1036,32,2,3,18,6,17,0,3,644,0,113,2
P00233,143,3,0.575,100,0,796,11,1,2,14,15,22,115.3,16,1218,0,67,3
P00234,957,120,0.858,128,185,371,18,0,1,9,0,16,54.0,6,29,247,7,8
P00235,230,59,0.488,255,10,432,3,0,1,8,0,30,73.4,6,404,251,38,13
P00236,38,25,0.506,0,810,775,67,1,5,15,20,30,0,13,473,20,36,11
P00237,331,10,0.985,391,1888,572,0,1,0,15,8,30,109.2,3,331,120,6,0
P00238,1312,70,0.643,461,2185,1109,22,1,0,12,0,12,78.5,3,1025,258,1,7
P00239,122,45,0.519,47,457,1987,0,0,4,20,6,23,1.2,12,678,40,0,4
P00240,983,74,0.789,134,736,877,4,0,0,9,3,28,68.2,0,924,0,27,0
P00241,1053,127,0.738,202,807,48,18,1,2,10,2,25,30.4,1,2851,12,13,1
P00242,82,65,0.02,115,662,443,52,1,3,11,8,22,42.4,7,1100,13,103,12
P00243,116,21,0.64,59,917,1118,47,4,4,17,12,20,41.7,13,134,23,257,8
P00244,281,0,0.755,762,2656,381,0,0,0,15,4,22,89.5,2,0,43,33,1
P00245,527,133,0.927,10,67,926,23,1,0,13,3,19,33.9,5,2425,131,34,9
P00246,347,67,0.633,148,1711,377,16,1,1,9,0,28,80.1,1,0,79,0,0
P00247,515,95,0.745,5,1510,555,23,0,1,9,0,25,82.5,8,1304,0,16,0
P00248,210,15,0.454,41,0,2689,50,3,2,10,8,23,48.8,7,731,29,132,9
P00249,85,23,0.429,96,0,409,74,2,3,14,14,21,0.4,17,518,17,63,23
P00250,1434,108,0.9,641,667,558,2,0,2,16,3,25,104.4,5,848,241,10,21
P00251,271,55,0.593,48,815,1470,42,0,1,19,20,30,12.2,6,623,0,110,0
P00252,80,22,0.439,43,763,2668,28,2,4,19,7,18,38.1,18,913,21,125,10
P00253,1167,39,0.879,109,10,180,14,1,3,8,3,20,37.5,6,620,102,25,14
P00254,157,25,0.136,128,99,892,14,1,4,18,5,26,32.1,10,260,38,61,4
P00255,1030,101,0.71,490,968,837,28,0,1,7,0,13,79.2,1,970,97,1,2
P00256,976,106,0.899,5,1752,104,0,0,2,5,2,20,118.7,3,591,53,42,8
P00257,448,67,0.771,49,1537,15,18,0,0,12,0,26,150.9,5,0,110,26,0
P00258,424,90,0.744,220,456,405,6,0,0,9,6,27,99.2,0,433,0,15,17
P00259,1992,24,0.675,326,2549,796,16,1,0,10,5,25,98.5,7,1654,146,39,12
P00260,30,101,1,391,10,15,0,1,1,10,2,13,82.3,2,2348,9,11,0
P00261,1248,25,0.896,211,1364,684,9,1,1,8,4,29,85.6,6,1994,25,14,13
P00262,939,130,0.702,328,231,766,8,0,2,12,3,17,88.6,7,0,76,25,12
P00263,641,107,0.812,100,1090,1189,5,0,3,8,0,25,51.0,5,488,261,37,5
P00264,768,90,0.813,358,10,1194,7,2,0,12,1,25,75.4,0,1199,0,36,6
P00265,1,29,0.205,32,380,849,37,4,6,13,9,25,0,14,256,44,96,10
P00266,672,118,0.856,314,2764,1084,6,1,1,12,0,17,35.4,3,2925,0,28,2
P00267,1,46,0.712,68,53,1568,43,0,8,18,12,25,49.0,25,233,27,142,19
P00268,756,130,0.667,78,10,380,2,1,1,11,3,26,120.1,6,637,161,37,0
P00269,1763,74,0.705,223,326,227,23,1,1,5,0,30,39.3,10,0,12,0,0
P00270,1475,98,0.737,173,46,939,17,1,1,7,5,20,99.2,6,558,236,14,10
P00271,1355,95,0.677,70,1599,513,6,0,1,5,0,18,89.4,0,1272,178,29,15
P00272,1497,126,0.8,305,789,1072,4,0,2,7,3,12,56.9,1,0,0,29,0
P00273,122,22,0.733,82,401,1676,24,1,1,15,5,15,81.2,12,504,1,131,0
P00274,1407,90,0.803,337,1519,922,22,0,0,12,4,25,82.9,3,3203,17,18,0
P00275,1,56,0.452,0,642,986,77,1,1,10,11,18,103.6,9,134,29,40,3
P00276,202,18,0.833,23,296,1491,45,0,4,20,4,24,2.1,6,390,1,95,0
P00277,1087,81,0.812,511,10,354,9,1,1,9,3,18,116.0,6,3440,179,50,5
