student_id,classes_attended,classes_total,study_hours_per_week,assignments_submitted,assignments_total,quiz_points_earned,quiz_points_possible,discussion_posts,office_hours_visits,sleep_hours,work_hours_per_week,commute_minutes,prior_gpa,late_submissions,practice_exam_points,practice_exam_possible,lms_logins_last_30_days
S00001,18,30,5.9,11,13,65,90,4,3,8.0,9.0,38.5,3.36,2,72,100,9
S00002,22,26,14.0,10,10,69,90,6,4,5.2,10.2,31.9,2.97,0,74,90,45
S00003,10,28,5.3,6,13,53,90,8,1,7.8,6.8,31.5,2.35,3,55,90,25
S00004,23,24,9.8,11,13,64,110,8,6,7.0,8.8,10.0,1.96,1,53,80,38
S00005,26,26,13.0,10,11,59,90,7,3,9.5,9.8,33.2,3.63,0,60,80,35
S00006,22,30,11.9,11,11,84,90,10,2,6.9,21.3,21.6,3.14,5,66,100,38
S00007,17,24,7.8,9,11,90,120,6,0,8.0,18.4,0,3.2,2,73,80,30
S00008,17,28,3.2,9,13,63,100,6,1,7.6,11.2,43.5,2.61,5,66,100,16
S00009,16,26,9.6,8,11,87,110,10,3,5.1,11.3,37.4,3.41,5,83,100,45
S00010,19,24,10.2,13,13,82,110,7,2,9.2,14.4,26.5,2.53,1,79,100,31
S00011,14,26,10.7,6,11,89,120,2,2,8.2,11.3,39.1,3.53,8,74,80,23
S00012,27,30,12.1,9,11,90,120,10,3,7.8,15.3,25.2,2.78,4,59,80,37
S00013,15,24,10.7,9,12,90,100,2,3,6.2,10.5,39.0,3.05,4,91,100,41
S00014,16,30,8.4,8,10,79,110,8,3,8.1,24.3,32.5,3.4,1,76,80,40
S00015,22,30,0.6,6,10,71,120,0,0,7.6,9.1,25.2,2.98,6,44,80,17
S00016,19,26,11.5,10,12,80,90,7,2,6.5,7.8,37.9,2.31,3,58,90,34
S00017,19,26,8.6,12,13,73,90,8,4,6.5,12.0,35.8,2.83,5,68,90,48
S00018,14,24,1.9,7,12,64,90,3,0,7.2,13.0,39.4,3.76,6,41,90,5
S00019,19,24,8.6,9,13,77,120,6,1,7.2,5.7,34.4,2.38,3,50,80,38
S00020,20,28,9.6,7,12,77,110,7,0,6.3,23.1,37.9,3.29,4,84,100,49
S00021,18,26,3.2,8,12,88,120,5,4,6.2,6.8,29.4,3.29,1,65,90,16
S00022,8,24,7.9,6,12,63,120,6,0,5.9,15.4,51.9,3.3,4,54,80,29
S00023,29,30,11.1,11,11,76,90,10,1,5.8,16.6,45.0,3.12,0,97,100,56
S00024,24,30,7.1,10,12,69,120,8,5,6.9,8.4,6.7,2.23,4,72,90,28
S00025,30,30,16.1,12,12,59,90,10,4,8.4,8.8,0,3.21,0,70,100,51
S00026,19,28,7.8,10,12,68,90,3,2,6.2,11.8,14.5,3.82,9,68,100,22
S00027,17,28,3.3,6,11,52,90,1,1,6.4,16.0,11.8,3.38,3,62,90,25
S00028,16,24,13.0,9,10,70,90,5,2,6.8,21.2,38.8,2.54,7,80,100,8
S00029,20,26,7.4,6,11,55,90,6,2,7.8,2.8,24.5,2.47,4,50,80,45
S00030,15,26,7.0,10,12,64,100,2,2,6.7,5.3,22.3,2.15,5,46,80,39
