Gender,Distance,YearsWorked,HireDate,PreviousSalary,Salary,DepartmentCode
0,~20miles,8,2007-09-05,63K,66K,3
0,>30miles,7,2011-10-16,60K,63K,3
0,~15miles,7,2011-05-18,59K,60K,3
1,<5mile,3,2000-06-30,60K,61K,2
1,~10miles,9,2010-04-28,56K,57K,7
1,~15miles,10,2008-01-10,60K,62K,1
0,~15miles,6,2007-06-10,62K,64K,2
0,~15miles,9,2000-02-29,63K,64K,2
1,~20miles,7,2007-05-24,59K,60K,6
0,~20miles,3,2013-07-16,62K,65K,7
0,~15miles,9,2009-09-13,53K,54K,5
0,~15miles,10,2002-04-21,57K,59K,6
1,<5mile,7,2015-05-27,59K,61K,6
1,~10miles,8,2010-12-25,62K,65K,3
0,>30miles,8,2003-03-15,59K,60K,2
1,~20miles,6,2015-10-19,58K,60K,2
0,~15miles,6,2015-06-24,61K,64K,3
0,~15miles,6,2005-10-04,60K,62K,1
0,<5mile,9,2012-07-14,62K,63K,6
0,~10miles,8,1999-11-22,58K,60K,1
0,~15miles,6,2016-12-28,61K,62K,3
0,~20miles,9,2011-08-03,61K,62K,1
0,~10miles,7,2008-02-22,68K,70K,3
0,~15miles,7,2008-01-09,63K,66K,6
1,~10miles,7,2002-02-23,63K,65K,3
0,~10miles,9,2005-01-22,61K,63K,1
0,~20miles,9,2010-05-27,65K,66K,7
1,~10miles,7,2008-08-18,61K,61K,1
0,~15miles,8,2004-10-11,63K,64K,2
0,~15miles,8,2009-09-09,57K,59K,6
0,>30miles,8,2005-09-06,65K,68K,2
0,~15miles,8,2012-06-26,59K,60K,3
1,<5mile,8,2002-11-10,51K,52K,3
0,>30miles,8,2010-05-13,59K,60K,5
1,~15miles,8,2013-07-06,60K,61K,2
0,~15miles,4,2012-12-13,59K,61K,2
1,~20miles,8,2011-03-07,65K,66K,7
0,~20miles,9,2011-03-08,61K,62K,1
0,>30miles,8,2000-04-26,60K,61K,5
1,~20miles,6,2010-04-29,59K,60K,5
0,~10miles,5,2006-09-12,57K,59K,2
1,~10miles,4,2001-07-21,61K,64K,3
0,<5mile,10,2005-09-11,57K,59K,1
1,~10miles,8,2013-06-27,60K,63K,6
1,~10miles,7,2000-01-29,59K,61K,1
1,>30miles,6,2014-01-31,65K,69K,1
0,>30miles,10,2010-05-29,60K,61K,2
1,<5mile,6,2002-01-01,61K,63K,3
0,~10miles,9,2006-07-31,57K,60K,6
0,~15miles,6,2001-06-23,56K,57K,6
0,~20miles,3,2004-05-01,58K,60K,3
0,<5mile,7,1999-08-28,61K,62K,1
0,~10miles,8,2005-11-24,62K,64K,7
0,<5mile,11,2003-03-06,62K,63K,3
1,~20miles,6,2009-09-15,58K,59K,2
0,>30miles,11,2010-06-06,62K,64K,1
0,~15miles,8,2001-01-17,58K,60K,2
0,~10miles,8,2013-11-09,55K,56K,7
0,<5mile,4,2005-09-25,65K,67K,1
1,~10miles,8,2011-07-09,59K,60K,7
0,~10miles,7,2012-02-09,59K,60K,1
1,~20miles,6,2004-03-15,53K,55K,7
0,>30miles,8,2010-02-23,61K,62K,7
0,>30miles,7,1999-10-16,57K,60K,2
0,~10miles,9,2006-06-12,66K,67K,3
1,~10miles,8,2014-07-16,54K,55K,7
0,~20miles,9,2012-02-24,63K,65K,1
1,>30miles,7,2003-04-14,59K,59K,7
0,<5mile,5,2014-09-08,62K,64K,6
1,~15miles,6,2014-04-05,59K,60K,3
0,~10miles,4,2006-07-11,62K,64K,2
1,~15miles,8,2005-10-29,56K,58K,2
0,~20miles,6,2014-05-17,55K,57K,5
0,~10miles,4,2014-10-08,62K,66K,1
0,~15miles,6,2000-01-14,56K,59K,2
1,~10miles,8,2001-06-20,66K,69K,2
0,~10miles,8,2004-08-22,61K,62K,1
1,<5mile,6,1999-11-05,61K,62K,1
1,~20miles,5,2003-11-08,58K,61K,7
1,<5mile,7,2007-01-09,61K,62K,1
0,~15miles,7,2011-06-01,58K,59K,6
0,>30miles,8,1999-09-28,60K,61K,2
0,~15miles,6,2009-12-01,53K,55K,7
1,~20miles,4,2018-09-12,61K,63K,7
0,~20miles,8,2004-03-02,68K,71K,7
1,~15miles,8,2010-11-15,61K,62K,1
0,~20miles,9,2007-03-18,63K,66K,5
1,>30miles,4,1999-08-23,57K,60K,3
0,>30miles,8,2003-07-20,55K,57K,1
1,<5mile,5,2012-09-02,64K,67K,6
0,~10miles,5,2004-02-04,60K,62K,1
0,~15miles,6,2004-12-04,62K,63K,7
0,~10miles,8,2001-01-14,55K,57K,1
1,>30miles,7,2004-12-19,63K,63K,7
0,~10miles,3,2012-08-09,56K,58K,5
0,>30miles,9,1999-03-10,66K,68K,6
0,>30miles,8,2009-01-25,64K,66K,1
0,~10miles,7,1999-04-01,60K,64K,2
1,~10miles,10,2001-12-30,59K,61K,5
0,~15miles,8,2011-08-23,53K,55K,1
1,~20miles,6,2014-07-02,61K,63K,6
0,~20miles,7,2007-09-29,60K,62K,3
1,~20miles,8,2011-01-31,65K,69K,6
