name,gender
rafal,M
premwati,F
sangeet,F
reemi,F
vijayta,F
ashrabi,F
rima,M
khushabu,F
mahbir,M
parathvi,M
huma,F
seeva,F
oli,M
rghuraj,M
gurjeet,M
aarju,F
mana,F
minakchi,F
jogender,M
sidhrath,M
mazhar,M
fakrudeen,M
navita,F
halima,F
nusrant,F
dali,F
ruby,F
binja,M
dama,M
sumedha,F
khshbu,F
satrughan,M
tool,M
soam,F
roop,M
kumud,F
rakhi,F
sithal,F
ujjawal,M
niru,F
manit,M
manmohan,M
saidas,M
mushir,M
faimuddin,M
sneha,F
riyajudhin,M
ramchander,M
gulsana,F
sushma,F
rahnuma,F
narmada,F
sandna,F
nabav,M
manjinder,F
joyate,F
tarnnum,F
bapu,M
dharam,M
bhagirath,M
gd,M
keshram,M
prabhat,M
navdeep,M
laja,F
shisupal,M
chandreshwar,M
chotu,M
surendar,M
sayari,F
tanisha,F
tabbsum,F
kumare,F
akeel,M
mehak,F
phool,F
mangala,F
laddha,M
aashu,M
vidya,F
nandita,M
birajpal,M
arifa,F
yasodha,F
vihsal,M
kranti,F
adiba,F
bahnu,F
mehboob,M
islam,M
hema,F
moinuddin,M
munesh,M
satyvati,F
duni,M
tavinder,M
abhimanyu,M
father,F
salmi,F
najma,F
prakesh,M
durgpal,M
bhagwati,M
bhag,M
vikshi,F
jon,M
amzad,M
israil,M
sushela,F
jeevan,M
bimlesh,F
saidul,M
jeeya,M
shanno,F
afzaj,M
ramkanya,F
mintu,F
shivram,M
ramdas,M
ikara,F
kalashi,F
vrendra,M
tejvir,M
tarjan,M
kanhyalal,M
dinkar,M
bhojaram,M
gutam,M
paka,F
tinvkal,F
kiniya,F
rampal,M
na,M
biwa,F
bharkha,F
achin,M
asagar,M
noomi,F
rajeshwari,F
sehjamal,M
vaid,M
robi,F
jasina,F
bhulan,M
charnjeet,F
ambika,F
sirish,F
nassin,F
sowar,M
affan,M
sunaina,F
shilu,F
mumtaj,M
rajjit,M
nagender,M
kashis,F
manohar,M
bada,M
rame,M
smts,F
mohinuddin,M
parash,M
bhundki,F
saru,F
umashanker,M
sharukh,M
prati,F
dhodi,F
randeep,M
roobi,F
kavita,F
shami,M
babby,F
tavvasum,F
dhara,M
amkit,M
kesha,M
aishe,F
phoolmani,F
zhini,F
udi,F
satyapal,F
surajpal,M
sanjeev,M
sarwesh,F
jatin,M
pram,M
naroo,M
