,X1,X2,y
0,50,B,2510
1,82,B,6738
2,66,B,4355
3,35,A,2225
4,81,A,7560
5,57,B,3254
6,70,B,4912
7,73,B,5316
8,52,A,3695
9,57,A,4254
10,41,A,2688
11,35,B,1228
12,32,B,1021
13,68,A,5634
14,1,A,989
15,4,A,1009
16,47,B,2204
17,65,A,5222
18,42,B,1762
19,86,A,8402
20,1,B,-13
21,38,A,2450
22,9,B,91
23,63,B,3955
24,51,A,3586
25,2,B,8
26,5,A,1035
27,84,B,7044
28,66,A,5353
29,46,B,2101
30,52,B,2703
31,51,A,3599
32,43,A,2834
33,52,B,2711
34,96,A,10218
35,28,B,777
36,54,B,2917
37,47,B,2220
38,60,B,3607
39,5,A,1030
40,68,A,5629
41,54,A,3917
42,33,B,1092
43,87,A,8559
44,84,A,8069
45,7,A,1047
46,29,B,838
47,51,B,2593
48,47,A,3213
49,61,B,3723
50,80,A,7403
51,11,A,1121
52,76,A,6761
53,31,B,972
54,70,A,5892
55,16,B,268
56,59,A,4474
57,20,B,404
58,38,B,1443
59,93,B,8653
60,58,B,3357
61,93,A,9644
62,19,B,363
63,48,A,3293
64,77,B,5924
65,64,A,5096
66,9,A,1069
67,39,A,2535
68,69,A,5750
69,67,B,4487
70,20,B,406
71,62,A,4842
72,1,B,-10
73,15,A,1217
74,10,A,1106
75,33,B,1096
76,24,A,1587
77,54,B,2920
78,47,B,2205
79,35,B,1214
80,80,B,6401
81,18,A,1311
82,45,B,2020
83,90,A,9113
84,69,A,5761
85,43,A,2848
86,32,A,2033
87,8,A,1077
88,88,B,7741
89,30,A,1904
90,7,A,1060
91,52,B,2699
92,89,B,7935
93,32,B,1020
94,60,A,4606
95,98,B,9615
96,9,A,1066
97,56,A,4139
98,50,B,2502
99,53,A,3815
